feature,real_mean,fake_mean,mean_diff,p_value,effect_size,significant
MFCC_1_mean,-271.64935472276477,-288.54695231967503,16.89759759691026,3.416079956669049e-17,0.28245977537404815,True
MFCC_2_mean,128.2579685189989,106.48769294950696,21.77027556949193,1.4171992992373185e-158,0.9410849103086543,True
MFCC_3_mean,-17.53053955234587,3.554715600849983,-21.085255153195853,0.0,-1.7854347623084406,True
MFCC_4_mean,42.46231304589245,31.29843219253752,11.163880853354932,1.4978033297051152e-221,1.1380359996574092,True
MFCC_5_mean,-26.318046258793522,0.59775503252219,-26.915801291315713,0.0,-1.9025598951420495,True
MFCC_6_mean,11.696489109984702,-6.0173818008517586,17.713870910836462,0.0,2.0431434272429803,True
MFCC_7_mean,-20.775418227154812,0.013530124334372683,-20.788948351489186,0.0,-1.890860730756393,True
MFCC_8_mean,2.6643903535894222,-1.563990278241949,4.228380631831371,3.2563749683038254e-53,0.5203869539107882,True
MFCC_9_mean,-17.99337965661039,-9.273039204983247,-8.720340451627143,4.920684104589363e-236,-1.1807103420928429,True
MFCC_10_mean,-5.211584751148346,-0.9488763119984004,-4.262708439149946,9.512820732184027e-147,-0.901315484560067,True
MFCC_11_mean,-7.631993968150733,-2.519218318200308,-5.112775649950425,8.719357381895994e-247,-1.2119116119547928,True
MFCC_12_mean,-11.76605895173128,-1.7062017767229636,-10.059857175008316,0.0,-1.9849327047348648,True
MFCC_13_mean,-0.6893405147411653,-2.7489317424664557,2.0595912277252904,6.654733667091398e-51,0.5081836838057548,True
MFCC_14_mean,-12.094525249055069,1.6265127616578765,-13.721038010712945,0.0,-2.598804512665932,True
MFCC_15_mean,2.785484138024557,-0.4721882110376868,3.257672349062244,7.782535707193207e-101,0.7336823554755822,True
MFCC_16_mean,-12.794384631050958,0.6396953938095895,-13.434080024860547,0.0,-2.9618559863201352,True
MFCC_17_mean,0.14963900170224304,-3.083002578328467,3.23264158003071,1.5736476101495812e-185,1.028036095349221,True
MFCC_18_mean,-9.521825100813682,1.4762526115208554,-10.998077712334538,0.0,-2.7617702606066534,True
MFCC_19_mean,-3.4949035047574175,-3.3669128564257536,-0.12799064833166396,0.1711543272359825,-0.04562591211875751,False
MFCC_20_mean,-5.872999743949622,0.06398449860144562,-5.936984242551068,0.0,-2.494696209311151,True
MFCC_1_std,72.83103407647874,136.10408459557428,-63.273050519095534,0.0,-1.9567033884266998,True
MFCC_2_std,37.61095931688944,56.082472824520536,-18.471513507631094,0.0,-1.646183245210645,True
MFCC_3_std,19.453830154471927,32.418633722729155,-12.964803568257228,0.0,-1.9201841762541307,True
MFCC_4_std,25.638667580551573,27.420663927396138,-1.781996346844565,1.2771426949879043e-20,-0.31223698002311,True
MFCC_5_std,18.148626563813952,22.958870605892606,-4.810244042078654,2.216690271207787e-194,-1.0556458068858028,True
MFCC_6_std,14.913560977511935,19.26901051627265,-4.355449538760716,6.626890224423799e-283,-1.3142275315238106,True
MFCC_7_std,13.51098406235377,13.756131806638505,-0.24514774428473451,0.01711774614674273,-0.07950922177104422,True
MFCC_8_std,10.62983149184121,12.848069722387526,-2.2182382305463157,1.455727962488672e-129,-0.8413532264158945,True
MFCC_9_std,10.637022447850969,14.865495202276442,-4.228472754425473,0.0,-1.5557525826169276,True
